"ISO","ID","HORI","TOP","BOT","SAMPLENO","SIO2","AL2O3","FE2O3","CAO","MGO","K2O","NA2O","TIO2","MNO2","P2O5","IGN","TOTAL","RATIOSIAL","RATIOSIFE","RATIOSIR","RATIOALFE","SOELREM","EDITDATE","VERIFIED"
"ZA",15,4,65,70,"750090",49.8,27.2,9.5,0.02,0.76,2.18,,1.39,0.01,0.19,9.2,100.4,3.1,13.9,2.5,4.5,"","26.03.2004","OSP"
"ZA",15,5,70,90,"750091",44.6,30.8,9.8,0,0.94,3.39,,0.69,0.01,0.17,9.6,100,2.4,12,2,4.9,"","26.03.2004","OSP"
"ZA",15,6,90,105,"750092",42.6,29.6,13,0,0.97,3.04,,0.56,0.01,0.2,9.6,99.6,2.4,8.7,1.9,3.6,"","26.03.2004","OSP"
"ZA",17,1,0,20,"750098",37.2,34.1,10.8,0.01,0.81,2.5,,1.04,0.03,0.29,13.6,100.4,1.8,9.2,1.5,5,"","26.03.2004","OSP"
"ZA",17,2,20,40,"750099",37.1,35.2,11.2,0,0.83,2.55,,1.03,0.03,0.27,13.1,101.3,1.8,8.8,1.5,4.9,"","26.03.2004","OSP"
"ZA",17,3,40,60,"750100",36.5,36.4,11.7,0.01,0.83,2.56,,1.06,0.03,0.25,13.3,102.7,1.7,8.3,1.4,4.8,"","26.03.2004","OSP"
"ZA",17,4,60,75,"750101",34.7,36.2,11.9,0,0.76,2.55,,1.05,0.03,0.24,14,101.4,1.6,7.7,1.3,4.8,"","26.03.2004","OSP"
"ZA",17,5,75,90,"750102",34.3,35.2,11.8,0,0.74,2.59,,1.04,0.03,0.27,14.2,101.2,1.6,7.7,1.3,4.8,"","26.03.2004","OSP"
"ZA",17,6,90,110,"750103",45.4,37,4,0,0.61,3.64,,0.25,0.01,0.19,10.9,102.1,2.1,29.8,2,14.3,"","26.03.2004","OSP"
"ZA",18,1,0,15,"750104",49.3,28.2,10,0.09,0.72,2.64,,1.27,0.23,0.34,9,101.8,3,13,2.4,4.4,"","26.03.2004","OSP"
"ZA",18,2,15,30,"750105",47.9,28.1,10.5,0.07,0.62,2.39,,1.34,0.24,0.42,9.2,100.8,2.9,12.1,2.3,4.2,"","26.03.2004","OSP"
"ZA",18,3,30,60,"750106",50.9,16.5,10.3,0.02,0.62,2.31,,1.62,0.16,0.33,8.8,101.5,3.3,13.2,2.6,4,"","26.03.2004","OSP"
"ZA",18,4,60,80,"750107",48,29.8,9.9,0.06,0.77,2.84,,0.95,0.09,0.23,8.8,101.4,2.7,12.8,2.3,4.7,"","26.03.2004","OSP"
