"ISO","ID","HORI","TOP","BOT","SAMPLENO","SIO2","AL2O3","FE2O3","CAO","MGO","K2O","NA2O","TIO2","MNO2","P2O5","IGN","TOTAL","RATIOSIAL","RATIOSIFE","RATIOSIR","RATIOALFE","SOELREM","EDITDATE","VERIFIED","CODETYPE"
"DE",4,5,75,95,"670017",80.8,9.1,4.4,0.48,0.76,2.04,0.51,0.59,0.09,0.08,2.8,101.1,15.1,48.9,11.5,3.2,"","19.05.1995","","DE0045"
"DE",4,6,95,110,"670018",79.4,9.3,4.8,0.61,0.79,2.23,0.49,0.61,0.03,0.11,2.6,100.5,14.5,44,10.9,3,"","19.05.1995","","DE0046"
"DE",4,7,110,130,"670019",77.2,9.4,2.8,1.95,1.14,2.37,0.71,0.63,0.02,0.1,3.8,99.4,13.9,73.4,11.7,5.3,"","19.05.1995","","DE0047"
"DE",5,1,0,10,"670020",58.2,9,8.1,1.32,0.6,1.49,0.6,0.61,0.04,0.19,20,99.6,11,19.1,7,1.7,"","19.05.1995","","DE0051"
"DE",5,2,25,40,"670021",77.5,10.4,3.4,0.87,0.77,2.1,0.73,0.67,0.01,0.05,4.5,100.3,12.6,60.7,10.5,4.8,"","19.05.1995","","DE0052"
"DE",5,3,40,65,"670022",80.2,9.5,3,0.7,0.77,2.23,0.68,0.62,0.02,0.07,2.9,100,14.3,71.2,11.9,5,"","19.05.1995","","DE0053"
"DE",5,4,70,90,"670023",81,9.2,2.5,0.67,0.85,2.03,0.96,0.67,0.01,0.1,2.5,99.5,14.9,86.3,12.7,5.8,"","19.05.1995","","DE0054"
"DE",6,1,0,25,"670024",69.6,9.9,6.4,0.86,0.52,1.77,0.55,0.64,0.05,0.17,8.9,98.8,11.9,29,8.4,2.4,"","19.05.1995","","DE0061"
"DE",6,2,25,47,"670025",74,9.1,7.9,0.75,0.58,1.88,0.66,0.63,0.02,0.04,4.3,99.2,13.8,24.9,8.9,1.8,"","19.05.1995","","DE0062"
"DE",6,3,47,60,"670026",79.3,9.2,3,0.45,0.76,2,0.55,0.55,0.01,0.04,2.8,98.1,14.6,70.4,12.1,4.8,"","19.05.1995","","DE0063"
"DE",11,2,1,5,"670156",22.3,4.4,1.6,0.16,0.15,0.65,0.13,0.29,0.02,0.19,70.3,100.1,8.6,37.1,7,4.3,"","03.02.1997","OSP","DE0112"
"DE",11,4,14,20,"670161",60.6,13.9,6.1,0.04,0.52,2.41,0.41,0.88,0.05,0.13,13.5,98.5,7.4,26.4,5.8,3.6,"","03.02.1997","OSP","DE0114"
"DE",11,5,20,45,"670158",65.6,15.3,6.1,0.06,0.62,2.78,0.4,0.92,0.09,0.11,7.4,99.4,7.3,28.6,5.8,3.9,"","03.02.1997","OSP","DE0115"
"DE",11,6,45,70,"670159",67.4,14.9,5.6,0.07,0.79,2.7,0.47,0.96,0.09,0.09,5.4,98.5,7.7,32,6.2,4.2,"","03.02.1997","OSP","DE0116"
"DE",11,7,70,100,"670160",62.3,18.4,7,0.01,0.64,3.66,0.66,0.98,0.09,0.11,4.9,98.8,5.7,23.7,4.6,4.1,"","03.02.1997","OSP","DE0117"
"DE",14,1,0,10,"690043",78.3,8.1,2.5,0.71,0.42,2.12,,0.72,0.05,0.09,5.8,98.8,16.4,83.4,13.7,5.1,"","19.05.1995","","DE0141"
"DE",14,2,10,20,"690044",80.3,8.3,2.5,0.68,0.57,2.11,,0.73,0.04,0.07,4.9,100.2,16.4,85.5,13.8,5.2,"","19.05.1995","","DE0142"
"DE",14,3,20,35,"690045",78.8,8.4,2.6,0.88,0.62,2.1,,0.73,0.05,0.07,4.6,98.9,15.9,80.7,13.3,5.1,"","19.05.1995","","DE0143"
"DE",14,4,35,60,"690046",76.6,9,3,0.93,0.68,2.19,,0.72,0.05,0.07,4.7,97.9,14.4,68,11.9,4.7,"","19.05.1995","","DE0144"
"DE",14,5,60,70,"690047",76.1,8.8,3,2.53,0.94,2.34,,0.7,0.06,0.07,3.9,98.4,14.7,67.5,12.1,4.6,"","19.05.1995","","DE0145"
